country,four_regions,income,total_GDP,breast_cancer_female,cervical_cancer_female,colon_cancer_female,liver_cancer_female,lung_cancer_female,stomach_cancer_female,colon_cancer_male,liver_cancer_male,lung_cancer_male,prostate_cancer_male,stomach_cancer_male
Sudan,africa,2419.0,13832329600.4432,16.6,12.7,2.9,2.4,0.8,2.4,4.8,6.6,0.9,6.0,3.1
Suriname,americas,10502.0,977794062.813568,12.9,14.0,7.2,1.9,7.4,3.4,6.0,1.0,13.2,10.9,11.8
Swaziland,africa,5320.0,1569510073.51468,8.9,47.6,2.2,4.9,1.4,1.9,3.7,20.2,9.3,17.2,4.1
Sweden,europe,37941.0,256599359724.735,14.66,1.88,9.87,1.95,14.04,2.78,13.42,3.99,20.27,19.94,5.42
Switzerland,europe,49177.0,253918245869.848,17.32,1.14,8.13,1.6,10.71,2.24,12.38,6.0,31.85,16.34,5.51
Syria,asia,5474.0,21530554050.6594,19.9,1.0,11.1,0.8,3.4,4.7,11.6,0.9,30.5,12.5,6.1
Tajikistan,asia,1398.0,1034624142.7969,5.46,2.5,2.17,1.9,2.78,11.79,3.71,4.1,6.48,1.65,22.6
Tanzania,africa,1607.0,11570140451.1804,15.5,55.6,3.9,2.2,0.5,4.4,3.9,8.7,2.0,17.4,7.2
Thailand,asia,9399.0,132052469495.688,4.13,3.54,1.7,9.52,6.18,1.21,2.39,26.22,15.92,1.08,1.83
Togo,africa,1207.0,1261447985.01746,19.8,23.8,3.3,5.5,0.6,3.4,4.7,15.1,2.4,16.0,3.2
Trinidad and Tobago,americas,19773.0,9168418142.39571,21.39,8.76,8.25,2.94,4.27,3.81,10.44,2.97,14.89,51.42,7.58
Tunisia,africa,7752.0,22897529290.3674,14.2,5.5,6.3,1.1,1.8,2.9,5.8,2.5,27.1,7.0,5.0
Turkey,europe,12669.0,266874563573.829,9.7,2.4,5.4,1.4,4.9,5.4,5.8,2.5,44.1,5.0,10.4
Turkmenistan,asia,5477.0,4050666385.96989,8.5,5.2,1.1,2.5,4.1,11.2,1.3,5.6,18.3,1.5,19.2
Uganda,africa,1115.0,7083155462.73458,13.4,29.3,6.2,5.0,2.1,5.2,7.0,6.1,3.3,32.5,6.6
Ukraine,europe,5637.0,35912742450.342,18.04,5.71,10.52,1.8,5.02,8.7,18.36,4.4,47.16,8.34,22.48
United Arab Emirates,asia,105346.0,108371671742.296,10.5,5.3,7.3,0.6,4.8,7.4,7.7,5.2,12.7,6.5,10.5
United Kingdom,europe,33954.0,1564235998289.97,20.6,2.09,9.38,1.45,19.67,2.86,15.71,2.78,37.58,15.59,7.03
United States,americas,46367.0,10189959441123.5,16.65,1.86,9.2,1.78,26.15,1.69,13.48,4.55,44.11,12.03,3.38
Uruguay,americas,11401.0,20249041605.0781,21.91,3.93666666666667,12.19,0.8,6.18,5.225,17.3433333333333,2.2,46.16,22.0966666666667,11.95
Uzbekistan,asia,2612.0,14911842624.6249,7.62,3.78,2.84,2.1,3.12,5.99,3.5,4.2,10.98,2.02,11.39
Vanuatu,asia,2467.0,250979651.800768,11.1,12.1,0.9,6.5,5.8,6.6,2.5,20.3,12.7,1.2,2.0
Venezuela,americas,13129.0,110397577419.511,12.0,10.18,5.77,3.46,9.26,7.8,5.7,4.02,16.86,19.94,12.25
Vietnam,asia,2920.0,35681076633.4434,7.1,11.2,5.2,5.5,6.7,8.4,7.6,22.3,27.4,1.7,18.6
Zambia,africa,2304.0,3508444450.76442,10.0,44.0,2.6,9.3,0.9,6.4,6.0,18.6,6.3,14.0,8.8
Zimbabwe,africa,2304.0,6182695057.3124,14.1,43.1,6.2,10.5,5.8,9.1,6.5,25.4,12.1,23.5,10.4
