country,four_regions,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bahrain,asia,7036750539.909921,7493150779.227276,7937887213.94152,7989357583.107511,8860433566.34701,9088746610.123474,9392077439.81711,9350641154.93423,10224223915.8573,10457347299.65979,10873646739.30682,10379790450.24477,9082116684.62616,9443852021.545914,9950893421.647604,9409059734.426565,9936628480.24252,10275436224.31526,11089890257.972885,11922693465.022104,3983298875.27887,3771518971.99949,3486534795.14867,3708849408.78416,3894427038.02205,3709119795.53414,3752998516.91499,4143273092.17727,4433301952.76498,4449439408.51332,4646905410.67276,5168752875.42893,5514542260.82,6224264259.13648,6208703536.25128,6452705103.50879,6717911630.61662,6925696586.95316,7257437617.29078,7569507492.92248,7970690894.22308,8337342675.35734,8775886900.08113,9407750756.88697,9934584799.27265,10709482413.6159,11427017735.3282,12380031014.4545,13159972968.3652,13567932130.3845,14178489076.2518,47633144741.44176
Bangladesh,asia,12767231589.6625,13540691011.3705,14279069087.6649,14213971625.8925,15770797882.5204,16024117621.2892,16435426595.3311,16127120356.5672,17657496027.7989,17873068964.2921,18877509041.9808,17843119136.474,15349770078.3859,15860254341.0247,17381563007.1162,16670967498.7941,17614771184.5711,18085623890.4146,19364971578.5606,20294806753.9657,20461050012.5987,21238978734.4088,21743716016.4747,22616962795.3335,23788673521.704,24555449225.9824,25598704785.4833,26554115959.4773,27127473044.2533,27836138077.805,29489968538.012,30474743435.1771,32010406325.1369,33474682525.5183,34842024064.8115,36558011930.5676,38247711533.0204,40308326777.0521,42415457211.493,44480763466.5509,47124925462.1348,49610300682.3455,51800799317.3846,54523446362.1137,57942340647.679,61393084271.9686,65463038830.4324,69670899875.7772,73983829245.0437,78231358239.3412,82979485251.466,88507817580.7322
Barbados,americas,784120375.70323,844470434.073808,920985861.543196,874214321.45663,917967662.010973,1022935827.52033,1063887746.44761,1177044295.56449,1258517198.53154,1353137615.92344,1481812924.89291,1539792151.66567,1559406034.43933,1580312997.76213,1506815149.08009,1567165345.39397,1565871988.95823,1634412707.00087,1734637071.19335,1867622970.52765,1955993038.78771,1893271872.9327,1798435850.15374,1801668965.35649,1862234629.11413,1871718231.39203,2048242624.58179,2069149587.90459,2198471437.14863,2309257154.66768,2198255969.70487,2134241585.35742,2027982063.59025,2048027019.19473,2129432329.94191,2161163704.47557,2200799782.20824,2341534922.63586,2437827350.83809,2501031835.55101,2558850048.0,2429524573.33614,2343386638.98934,2390441630.89799,2478549703.36207,2557427999.41024,2644872131.78276,2657506213.16503,2662289724.61664,2521188368.59594,54490808427.1958,57944031079.30644
Belarus,europe,34510393095.01202,36239731961.8049,38144798862.80455,39761277426.35631,42518812646.054535,44068904162.14087,45464007066.339,47258623571.4816,49256764572.76957,52527981072.95371,55585576219.19995,57800579676.66334,60830506010.67716,64673222845.006065,67552900768.64605,66269836853.535484,69970961709.61711,70438456213.65343,72467132313.20816,74209829196.15732,77510440057.87184,77265336896.74983,77672005192.30988,77913032104.96275,79842730424.28658,81150928602.92801,82701320706.68889,84595789009.68079,88607220641.26183,91698411471.96983,14364231694.5382,14191860914.2039,12829442266.4403,11854404654.1908,10467439309.6505,9378825621.44682,9641432738.84734,10740556071.0759,11642762781.0463,12038616715.6019,12736856485.1068,13338711929.6066,14011685603.183,14998555617.2527,16715851678.1922,18293979126.1542,20123008724.942,21863108809.4652,24103693966.2057,24143111980.4323,26002131602.9256,27380244577.8807
Belgium,europe,68236665814.3208,71634993489.536,75368611864.0659,78648340531.256,84119657630.0981,87114872496.7614,89864126386.2304,93340202847.3987,97255011947.0076,103702824529.984,109689339513.507,114061367201.661,120101605986.915,127766132692.25,133598986388.212,130972508361.677,138376051430.276,139242499720.306,143199627555.223,146552035421.787,153064887076.956,152637401920.567,153545574534.466,154024395244.569,157823226219.459,160430138974.464,163354398788.796,167122428431.457,175015969845.375,181087565789.272,186769011524.937,190192626270.857,193103818853.334,191246405182.565,197417872112.78,202125809075.273,205004919349.184,212661589174.824,216763650417.28,224436421791.722,232672747374.24,234552028141.578,237741668285.246,239659286073.542,247490005974.329,251845091555.105,258690550017.284,266243709886.338,268825324877.619,261295933961.558,267143096398.002,272271056321.282
Belize,americas,86532303.9998282,90765703.9998198,95206559.999811,99925399.9998016,104921535.999792,110094727.999781,115347207.999771,121014359.99976,129929751.999742,136564463.999729,143130063.999716,148797215.999704,164001759.999674,172778927.999657,196207743.99961,203257135.999596,203188015.999596,216388319.99957,233527999.999536,251082335.999501,289162815.999426,292894847.999418,292065503.99942,285914559.999432,291512607.999421,294622623.999415,308099391.999388,342655167.999319,374308255.999257,423308351.999159,468299999.99907,517457662.392533,579737611.059762,616125222.723035,617098317.48775,621072230.61203,629945630.256988,652278360.61488,676679801.381355,736094778.686615,832072464.652776,873319741.819566,917848110.522823,1003404009.29221,1049766699.38183,1081553523.1614,1131878725.66606,1147049999.99772,1187100523.57821,1187100523.57821,1221526438.76198,1245956967.53722
Benin,africa,621797130.981397,641329522.64888,619354945.004825,648650606.941273,691790796.382284,728413252.181091,754460310.366416,762596400.381573,791897913.447572,814684759.995729,831774871.313582,819324516.984375,871977321.854187,904294242.846743,934491450.59949,888744866.06222,896604537.392572,941288292.558632,953102194.98947,1015394547.05014,1084256207.62882,1192185577.10725,1218831715.46025,1165839073.21114,1258288241.35603,1353041433.32163,1382417878.59512,1361681569.83577,1408050167.19365,1367862155.73081,1411814142.21063,1478487197.21769,1537774239.26893,1591893790.19516,1661498638.6,1737998382.57052,1834412162.8522,1947193116.28197,2035610256.74914,2131227490.08824,2254838684.51335,2367580618.73902,2474121746.58228,2570612494.69899,2650301482.03466,2727160225.01366,2838973721.02899,2969566512.19632,3121014404.31833,3239612951.68243,3336801340.23289,3440241814.68618
Bhutan,asia,1811806411.5569983,1852791245.487965,1927146844.2771673,2045647550.9485614,2149747468.980982,2269525710.8304505,2406343456.5914183,2550600256.966917,2301268041.4636908,2371650394.032379,2370475639.3769913,2463217838.8768125,2653160978.5157137,2796566539.561921,2880580942.123815,3034147015.366695,3157583746.8579855,3314609849.409311,3378894730.228435,3413911008.6206746,3408475186.2533145,115128647.045009,124563583.673307,133702372.50187,143885322.451141,150142926.497489,162085319.771502,194873231.634153,224258402.536176,238148537.889345,259814622.197506,272535249.146048,278212050.358402,287093618.684419,297172074.99177,315112476.458823,334630530.817104,352689439.672248,372333012.895015,397898220.047355,427808817.307063,457700055.242553,498509593.500467,541274885.398078,584394624.347077,635666173.056036,679205223.402165,800957405.139017,838356459.987534,894764298.172628,961365501.949434,1042216340.66338
Bolivia,americas,3001815692.1326,3064252968.32705,3234938743.54951,3442644494.95585,3607704141.57968,3810638169.47981,4058226602.81642,4338604113.55226,3810638169.47981,3928616028.06903,3909176407.4404,4107111160.76925,4434344635.17724,4688838836.2771,4826670433.64814,5179549164.67117,5418562956.3234,5687931406.25999,5804687265.4674,5812427470.19121,5732694164.87781,5748494408.6796,5522076279.14336,5298867252.14951,5288233917.15919,5199582623.91849,5065751742.95617,5190545501.64019,5341564705.13223,5544016865.96613,5801025729.1485,6106538029.62286,6207082180.79385,6472080850.66869,6774150097.0207,7091063596.49616,7400329011.59946,7766956760.95582,8157584560.9046,8192408095.41669,8397858205.82571,8539261261.18335,8751510219.96846,8988793402.47698,9363922318.53188,9777941879.37294,10246990605.7814,10714702654.9381,11373495913.043,11755304106.0109,12240412986.0726,12863340654.3939
Bosnia and Herzegovina,europe,1563138312.597764,1598302011.3182225,1688056602.1207945,1796088981.7493556,1883727090.5138915,1989838003.3412087,2118994113.454463,2264507914.217394,2010585399.374897,2085494176.580313,2096521762.2996864,2232137958.8836365,2442832475.2993636,2618152371.2043715,2711150638.4293995,2912744237.029868,3066638930.186567,3244249076.162835,3359998826.9727707,3419467577.2181396,3441124156.29585,3501127001.424905,3464181196.86574,3445016998.77361,3507685981.42616,3524891970.2052603,3533584304.060185,3714884640.0078697,4008158413.85248,4284037864.7292404,4514949358.458865,4788121625.008345,4889000571.44545,5055711226.74768,1342817884.18867,1622124019.82166,3065127655.79155,4119212034.19355,4761808952.81294,5218942612.28298,5505984455.95855,5748247772.02073,6052904903.93782,6295021100.09534,6679017387.20115,7012968256.56122,7447772288.46802,7957050957.55348,8388323119.45285,8144222916.67677,8209376700.01018,8349796021.11129
