country,four_regions,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
China,asia,70348527260.0067,51282752582.4615,48151766858.48,53131628622.9233,61546062211.0954,71616855291.9858,79279858808.2283,74760906856.1593,71695709675.0568,83812284610.1414,100071867824.509,107076898572.224,111145820717.969,119926340554.688,122684646387.446,133358210623.154,131224479253.183,141197539676.426,157717651818.568,169704193356.779,182941120438.607,192454058701.415,209967378043.243,232853822249.958,268247603231.951,304461029668.264,331253600279.071,369679017911.443,411452746935.436,428322309559.79,444598557323.062,485501624596.783,554442855289.526,632064855030.061,714865351038.998,792785674302.248,872064241732.474,953166216213.594,1027513181078.26,1105604182840.2,1198474934198.78,1297948353737.28,1416061653927.37,1557667819320.1,1714992269071.44,1908786395476.51,2151202267702.02,2456672989715.72,2692513596728.42,2940224847627.44,3246008231780.7,3547886997336.3
Colombia,americas,19017657851.0768,20019008355.1764,21113347503.444,21726503327.2777,23160961293.5841,23858682287.3303,25128529189.52,26181574240.9898,27864380351.7214,29681398501.2379,31746189469.5145,33635476030.2564,36216465586.3412,38652921702.932,40872574277.3252,41791408981.4884,43804579414.3928,45621599255.3876,49482760497.3275,52146344939.7819,54283406010.7621,55511957161.245,56038477149.7624,56926337502.9282,58836273631.0017,60653293471.9965,64194410100.9944,67642617208.827,70388786388.7808,72794271537.331,77192529433.1123,78950382026.4,82923700136.1282,84885385124.6164,89839136186.8444,94512961180.6338,96456010346.6599,99764734771.911,100333178357.927,96115156245.2714,100363791870.832,102048140770.442,104603036182.3,108702006197.463,114498365687.52,119887295311.926,127916765207.493,136743824883.31,141593861545.275,143932353897.004,149691353901.11,158566346502.298
Comoros,africa,12005309966.84275,12235082672.25331,13254090410.97641,13701311361.395674,14349285343.052605,14725760480.12233,15550154912.374485,16047244362.828495,17016741795.748041,18213003676.8273,19237135107.232002,20383789619.768475,21679673968.222984,23188520048.063255,24419251415.14396,24680252183.89485,25485915684.54915,26421689602.215603,28159257627.307724,29505749737.92591,135611414.109865,140852688.385978,149844193.501457,157068223.944182,163524143.080682,167253101.604548,170376071.300396,173166816.199882,177820706.759127,172164807.402101,180930393.845359,171168115.492478,185770336.366621,191354476.529812,181257309.238064,187800932.7896,185375167.455236,192846418.242855,195319986.821808,199078184.913551,201900820.25544,208622519.671295,217279132.956167,222655960.919106,222121733.32615,231517228.555508,234393020.871821,235543869.368091,237840250.663187,242145965.591493,247231030.868914,252737368.22782
"Congo, Dem. Rep.",africa,4992962082.6087,4451156989.33022,5394833318.50882,5676119395.51365,5537609392.52111,5592838672.91436,5971780635.22897,5912914484.66719,6169103239.77468,6744608852.4167,6728080744.9495,7132103209.28055,7142882350.10477,7724118393.19451,7965928552.96272,7569095386.3013,7167251954.7055,7221779949.0436,6835754757.28795,6865154536.06992,7015838700.21366,7180747677.92836,7147883003.67863,7248789931.68462,7650450747.4305,7686243454.01036,8048819672.19801,8264177308.23544,8303050455.86222,8197929632.79358,7659464144.02188,7014456723.87591,6277938167.1589,5432359502.61119,5220497655.70038,5257041078.18947,5203252472.08575,4910983356.10852,4831221421.24852,4624921462.71342,4305797175.65217,4215380704.3919,4361586317.79577,4614184091.1176,4920560759.37794,5303776064.63505,5599793441.61332,5950214773.24562,6316453095.9658,6495485661.45534,6961484999.95952,7440411972.4829
"Congo, Rep.",africa,626127041.312797,678538007.757585,713837650.303108,685074986.873301,711222903.336167,737370784.02065,747391523.690527,763208361.636507,821451281.645206,883458738.73085,939633199.011707,1012483298.06123,1099734560.95717,1190255790.57818,1284113658.62965,1383396149.80043,1396072025.21252,1271075722.02931,1351912922.00364,1484579175.40983,1746408547.8925,2054120886.88255,2538846170.72469,2687469282.08271,2874950661.16798,2840863496.54776,2645936896.98187,2650947683.12228,2697770402.85881,2767909101.93384,2795588291.6666,2862682410.66661,2937112153.34394,2907741031.8105,2747815275.06092,2857727886.06336,2980610185.16408,2962726524.05309,3072347405.44306,2992466372.90154,3219893817.24206,3342249782.29726,3495993272.28293,3523961218.46119,3647299861.10733,3931789250.27371,4173100882.44033,4106748578.40953,4335494474.22694,4659307268.50269,5067059616.86512,5293029726.85862
Costa Rica,americas,2398494445.32353,2375566266.50756,2569135008.36399,2692060708.03232,2803755709.90241,3079354165.83871,3321721143.19776,3509402570.53589,3803666599.61453,4015824845.37562,4317137578.49378,4609774983.5633,4986764462.24867,5371189936.40431,5669017046.64579,5788070432.45623,6107430946.24702,6651265573.29654,7068146069.34846,7417250565.02032,7473020531.04733,7304006550.67103,6771868124.82995,6965746215.05997,7397741147.63452,7474782130.66046,7907194502.30685,8450848889.98628,8773620017.21067,9218062904.66178,9578020684.10869,9824359310.56642,10723486281.2348,11518491952.0258,12063270098.2,12536256860.1415,12647402444.6159,13352898208.1335,14474254065.0824,15664354699.3547,15946443260.8335,16118090925.2913,16585867507.482,17648111590.7936,18399824531.0148,19482907711.1028,21193436186.6289,22875207933.4116,23497907525.0133,23261376836.6712,24349981200.718,25363904537.3609
Cote d'Ivoire,africa,2003623491.32934,2202622974.13749,2229649036.59604,2552733116.53739,3002348242.50459,2908985591.98507,3245769317.2392,3395014716.96431,3821029605.08378,4185525978.3805,4619775631.52273,5056651073.69428,5270882417.95043,5583930536.57631,5825568477.71905,6306346024.63966,7120898740.8884,7641753970.81836,8475427578.0555,8678363848.68068,7727415010.41776,7997913088.48636,8013974685.62502,7701410403.83992,7493375174.83071,7830668714.74256,8085897519.0896,8057679927.22998,8149254167.41356,8389494583.18485,8297553406.33679,8300949194.09676,8280648341.9539,8264709327.63899,8331753202.35688,8925452666.4465,9615330126.96805,10165236491.1883,10648336839.2844,10817267121.2629,10417006095.6768,10414794516.2386,10265778787.134,10106108491.4962,10287397439.4386,10416603855.0612,10487850374.258,10667682579.8993,10916239584.011,11331056688.2034,11603002048.7203,11057660952.4304
Croatia,europe,12035847861.463753,12860547791.045471,13511098033.104431,13844271190.253252,15298009250.466152,15810770742.607937,16449770592.28248,17043167173.658009,17953476018.502384,19186911727.73706,10044366373.441914,10926720792.562038,11439200637.524464,11898088818.544857,12108556803.897724,13220376190.08773,14174096352.620098,15358919855.36488,16536805784.6345,16772110606.86104,15693708396.89648,18158087581.20303,19428862924.48911,20107131057.37506,21292201937.000107,21740993467.63203,21885596358.3481,21442876348.40589,22133947538.01178,22376886164.004078,25147844848.7794,19844498689.9297,17520054878.0011,16113968509.0253,17059934940.9902,18211797512.9564,19289988823.3902,20552256735.3077,20958526744.2543,20739955885.124,21517784659.0236,22304474424.1023,23392545951.0607,24648975414.3445,25666592893.8846,26765073225.6013,28085993743.4479,29507125184.3611,30147225799.437,28341089553.8616,28003469441.9948,27992416492.504
Cuba,americas,22068072231.598167,23518472607.953453,24792547029.612823,25135809263.969116,27593670258.42771,28712555893.230804,29653771867.32576,30691319630.351707,32085922431.920986,34188297477.093624,15468957115.3611,16796790511.4298,17607518857.0985,18212247100.5134,18391545130.0764,20134406355.5358,21227293964.3518,23076085739.9114,24598183991.2135,24865857365.0414,23660001783.3752,28318262073.9197,30843751163.3532,32512851710.9102,35091028699.1695,35651318220.5215,35685295197.6066,34828072769.5818,36118640908.61,36364277744.8233,35292053460.8011,31518380977.1981,27868362411.9886,23722057177.9791,23892127731.0861,24479205338.725,26398069059.2596,27133256341.5377,27175508484.1974,28857999501.6501,30565200000.0,31537855020.7705,31988401919.2071,33201198864.7141,35117199825.0176,39050927790.3571,43762736985.333,46940846885.4881,48873320833.0563,49581552317.992,50605230812.3034,20185920481.030502
Cyprus,europe,32100296601.732574,34176397424.861435,36073996026.121216,36427347337.684975,39889331266.389275,41614341043.853676,42857773142.36903,44339472087.04541,46218368845.33959,49189683226.45019,37244959563.526794,38938658703.26383,40637321928.547066,42126855871.65553,42001721056.19583,1930010486.41981,2321151991.90903,2700938928.6347,2911001893.04554,3199353130.81084,3383419766.62649,3468580371.01957,3677448288.77356,3882730110.36672,4222775482.70577,4428954210.81526,4593000516.27219,4917507413.50132,5342713390.23345,5767321556.78006,6194334044.84406,6240141145.10568,6826714412.74562,6874501413.63483,7280096997.03929,7724182913.85869,7866990431.12659,8051748059.18416,8457818690.15252,8867754206.56789,9314937556.47906,9689915174.36381,9892554194.15646,10083883129.1235,10509896324.2224,10920829406.2205,11371347785.1084,11954759660.6975,12388312912.3468,12181903864.279,12320777568.3318,12379424469.557
Czech Republic,europe,42132520971.86699,44834322241.76942,47355445022.62961,47718885411.40084,52184992274.35084,54516126194.47654,56061774417.412315,57987624543.739105,60350815258.758194,64191068975.80675,59020962011.6925,61080526895.09787,63667124999.995636,66041464642.79767,65611896982.31526,45031139417.55245,47911880231.26721,49026913726.626045,50216368170.40322,52286661077.37092,52131573881.24774,51726801102.72518,53687948290.42728,55165556606.951866,57552674027.51539,59886961624.63663,62823334964.9621,63161078000.136665,63287080558.05373,63846652367.42753,56341410900.2374,49797388500.3608,49545143638.0078,49575814187.6143,50676144450.1758,53685084744.5858,56122215303.682,55643759658.698,55512454162.1423,56444667842.9056,58807244367.8667,60628710341.9532,61931803246.655,64264262985.7886,67312054039.1406,71857267364.8578,76901921232.2686,81312346952.1958,83832217961.1764,79896120087.8694,82084475849.4869,83442890476.3941
Denmark,europe,52164745342.0014,55492247058.6774,58636894019.138,59010423485.1167,64480653282.3124,67417911345.0994,69265775692.4556,71635777000.4328,74483261672.1768,79192454725.1633,80796964459.8582,83222395086.9319,86696928071.4442,89956073413.9398,89222072908.4347,88132268348.6851,93502608470.6254,95352888524.6174,97521734447.7609,101373969023.931,100879727995.869,99985021834.4308,103698448292.081,106448383103.537,110882572572.325,115344969038.458,121053669413.652,121404648586.772,121231447725.874,121925983178.075,123885874634.035,125496920043.76,127976062127.96,127861389126.378,134926238386.339,139061964293.392,143003738460.27,147577647548.368,150765998042.352,154626288220.606,160082517845.876,161210834023.941,161961831921.802,162583491905.377,166317200731.885,170383902312.986,176167942355.278,178957142593.756,177554383049.404,167196323656.513,169362540761.396,171051872547.201
Djibouti,africa,35782932849.89552,37977985962.922485,40242017999.61718,40565870144.17765,44295599371.6669,46090446967.50043,47476535086.06001,49099772421.771286,51001302446.92726,54287340981.3786,55629023896.02966,57437791722.41278,59957477162.44794,62408727980.513916,62065721444.42665,61473396369.627884,65236530550.76166,47757296227.559685,48851237484.37835,50760686731.94497,50524076658.42985,50086900153.46945,51947515825.3919,53325128951.83712,55547700953.00978,57780266141.780174,60642244824.1118,60826411739.65128,60750431988.081375,61097372148.75974,660030923.304715,631797330.469873,631683815.332882,589860779.819534,584331764.283602,563948745.775657,540739442.023148,536706216.855104,537239587.72766,548946071.651634,551230861.856505,562518771.069119,577248676.089627,595720398.943077,618515497.559308,638119971.920023,668748867.085286,702855469.833871,743620824.346805,780798170.819023,84889293642.26442,85736173179.80443
Dominica,americas,19401120357.789642,20463724867.167572,21847141980.09636,22121316803.2386,24110545461.0214,24762982589.90146,25687294479.66442,26563767843.109764,27519343221.677727,29382227237.593903,30461083332.20112,31653188357.89366,33218026253.451683,34861382547.08802,34909369980.4186,34814524390.57066,36970452630.89793,161703930.501967,180740520.99581,147404439.958942,168425320.990694,188778472.508101,196583358.702812,201874800.137236,212829333.694565,215563245.10235,230820234.571605,248174892.53057,269416250.288756,268761119.444494,282884248.764244,284603957.151496,290430831.985466,295312826.721162,299539690.612596,305454756.137141,313524214.403573,318198300.846108,334038477.713989,336320953.575397,328735889.74987,328138870.449156,322207191.4698,346628444.613561,358119886.844268,356587477.276288,373153709.822557,387615140.565422,417737931.792272,414658637.629365,416046523.13284,420473812.407869
Dominican Republic,americas,3019307865.68376,2949463771.41266,3452265960.57554,3676763462.29955,3925491550.3759,3435518212.30249,3898053873.26884,4027763264.44825,4037383996.42819,4477113493.80921,5293142768.37257,5868584993.37454,6478575344.45543,7314037113.66212,7753018516.41055,8155652411.51344,8704374711.0342,9138007852.92821,9333623789.57555,9756567536.02434,10534042898.0726,10984885966.6334,11171487179.7886,11688497606.1552,11834942323.7546,11583741530.7922,11991720123.6177,13204966506.649,13489660738.673,14083278499.0637,13315132485.0468,13440845832.8066,14853906415.8806,15926747834.8333,16293581672.6988,17188690648.862,18414479323.4348,19888424784.1288,21282722240.0093,22711932398.0271,23996656675.8335,24430811263.7342,25844917267.7082,25779436894.049,26117652334.7789,28536865195.2307,31582078268.5218,34258540898.9641,36059049713.2742,37304548927.7311,40196106908.3343,41998064066.1829
Ecuador,americas,3641530018.84319,3697721715.57028,3866296549.62339,4016140988.85291,4329877471.33354,4467234895.30461,4463233149.22953,4775389321.08016,4886444433.99507,5152577964.70096,5544774180.61584,5902953505.86749,6174088706.91093,7171587948.1579,7770887842.1211,8418211762.52286,9061533936.84954,9271638924.45416,9902954836.04306,10419212864.1294,10882444170.9271,11248627500.5852,11184595465.3337,10901454001.5525,11319663103.7242,11649828669.6815,12124065290.4419,11863935403.3612,12856431949.7581,12982495147.2233,13330669595.031,14023015720.0588,14235121580.7009,14277142988.0269,14948478409.3916,15210610194.0224,15575792574.9054,16207108486.4943,16549527222.7173,15506997580.7439,15941641913.4676,16792401244.6822,17650754679.2296,18228555753.3251,19837038477.8394,20976428515.1052,21973124162.3138,22420870169.8103,24044518481.6737,24131528012.5749,24995823419.8935,26195622944.0483
Egypt,africa,12008501551.2353,12536920097.724,13396534339.8415,14609661873.7618,15799225320.2023,17256717129.6455,17439059544.6401,17548216714.5837,18025776785.0669,19253791889.3082,20331718432.8968,21031314990.6494,21458018623.543,21609350617.8775,22146450777.5649,24126160272.4143,27655153481.8372,31205234103.4555,33008806121.2246,35002160771.9209,38506344421.7662,39952673865.8945,43910853498.7431,47160756999.0564,50033561716.7202,53336802406.7392,54748401321.2411,56127744342.985,59102918305.7387,62041739159.8319,65579206064.0346,66286699444.8751,69224523386.2059,71232581990.5434,74062775121.3654,77501108924.9262,81367430435.9789,85835423038.1454,89300055775.4207,94752235333.4777,99838540997.321,103368058729.07,105818387281.584,109197716207.21,113666164952.265,118749025399.762,126876016554.826,135868769654.244,145591924088.415,152414550276.746,160258746161.725,163143403592.636
El Salvador,americas,4017741904.82058,4159510749.7209,4656688841.92465,4857179944.65779,5310184301.33775,5595259456.95659,5995943686.14644,6321933985.0317,6526555576.456,6754033315.04917,6955120789.87376,7223467391.19877,7665365435.45877,8038030511.50043,8466939737.33189,8714473587.62838,9154489902.78396,9775170070.53143,10295479446.9981,9865101118.97371,8703848679.63821,7794215003.03065,7302727945.30644,7414825706.20328,7513958616.74957,7560289381.49228,7574608193.26884,7765002615.56776,7910787275.11708,7986904251.30781,8372810074.95085,8672159450.83023,9326459853.62431,10013804572.3453,10619662925.8882,11298815407.9523,11491596864.9675,11979528543.226,12428695150.1271,12857344602.3094,13134147768.0,13358642293.1981,13671259606.8535,13985703809.8278,14244514235.3485,14752019854.1257,15329111294.8589,15917713172.3067,16120541019.2613,15615477008.272,15828594488.0472,16061419230.6821
Equatorial Guinea,africa,3301609464.0247126,3418099468.7818847,3819105135.476531,3985459625.2540593,4352726520.311056,4577962730.433038,4898510113.784918,5172888530.680312,5345716479.757659,5530930481.618931,5708022300.957577,5932614604.3393345,6297648441.786074,6614983088.573118,6962911120.3310375,7161942200.774131,7519163902.240628,8027254628.159785,8447361583.182552,8128850605.694353,7196052150.677432,7132437514.591713,6775609793.096565,6966620880.724521,7000942179.988857,194293740.813721,189765615.698672,198185017.827795,203447349.500971,200946619.40237,207499790.539676,205141003.679892,227081761.956183,241379315.622285,253727370.2323,289915456.227045,374402170.187843,640931532.34531,781365388.082366,1105213629.59634,1254223037.33709,2030554289.58624,2425757700.91067,2764278260.23073,3814668805.84594,4186550476.56191,4239290429.11297,5148299306.78246,5697997257.51338,6024744205.69925,5979285834.9711,6403432391.17733
Eritrea,africa,2585477023.2288456,2676688187.8428693,2981521429.028412,3113739305.8503284,3395268739.2843614,3560666003.909487,3801076541.4233966,4023843076.3289247,4164877383.0593176,4307827648.188692,4460923812.041393,4641761817.4799,4929931448.113377,5191935665.645805,5458882503.330185,5609410813.919882,5883837901.697296,6279339185.788141,6599243719.367004,6392600092.414998,5688255621.716654,6470660026.152775,6248491640.88669,6518416055.24576,6487925743.228146,1747263505.508894,1900540219.4331846,2152026569.7054033,2165703450.6138706,2156710005.849507,2216227439.6807175,2066349523.3578649,429588978.527988,487389152.289934,590820007.44694,607707881.345414,663974581.109594,716486235.571553,729186545.860742,729284845.475984,633600000.0,768210748.883919,791298774.82814,770285714.285714,781506493.506494,801558441.558442,793870129.87013,805194805.194805,726337662.337662,754493506.493507,771116883.116883,838337662.337662
Estonia,europe,1869344582.4329782,1935276906.903854,2143937722.5802922,2242018986.446597,2437810958.2576666,2543369277.385935,2703642969.0618753,2874797621.977537,2984038286.360976,3084724814.7584524,3213825323.125211,3350909030.6204653,3562214454.44068,3768888242.718493,3954853886.3293333,4056879427.065632,4248511901.153965,4531423743.416498,4751125855.551456,4656349579.135643,4180459092.7558765,5808882537.713838,5721373488.676815,6070211229.767,5974909306.467433,3300233270.204067,3611314823.167697,4105868121.5830116,4127959551.7267704,4112473392.2966433,4224955088.821759,3927558043.0358377,2858154380.327479,3234466948.889277,3381594055.24264,4104911008.64477,4346685996.97675,4856828569.93279,5187563538.92222,5173492087.62229,5675174661.87581,6031668952.54822,6427372283.59952,6926482596.87579,7365818095.26683,8017950551.90427,8827550544.93364,9488928631.4304,9140619357.94319,7837361480.95623,8014762096.87522,8626739894.25593
Ethiopia,africa,1153212141.6371112,1193865625.9648385,1306354016.132173,1370298667.0428662,1480353177.2309723,1526072550.8623834,1606209396.7003536,1725752167.6261492,1803199189.6626348,1861621981.3282137,1966726834.2090273,2060056243.7610302,2194497460.7679834,2345840819.7911806,2450825269.3284807,2504348040.211383,2613185900.610633,2783508301.044854,2903007991.7359085,2920099065.856287,2672662563.7950983,5147105049.2749,5194255336.46694,5622006404.28824,5461892869.70672,4853203034.89924,5322089426.90221,6059709673.46062,6090215652.83967,6068236778.74378,6233682737.9628,5788766562.71381,5286719782.12697,5981544745.48862,6172368103.03834,6550580456.5046,7364550132.92852,7595359797.54279,7332697406.72614,7711240982.39205,8179533779.1746,8858552228.85293,8992734182.82548,8798393779.76974,9992543571.77932,11173546750.4407,12384159131.2523,13802890302.1844,15292022591.4704,16638100822.2788,18291486355.4865,19626589433.7414
Fiji,asia,437079700.841244,452454345.025823,468770309.684054,498578347.639135,522895396.204278,508775824.338832,508775824.338832,576706713.274761,622360092.964294,638519147.897975,719628345.292844,769203456.901595,826780467.095287,922793396.863868,946796652.327628,951816653.357134,977859900.067301,1035592858.67321,1054890127.92036,1183848552.57693,1164866034.83432,1238601961.83201,1164552296.28078,1118434636.60832,1212305127.31995,1156375706.55565,1245993741.09482,1163571018.59539,1174691917.11344,1262072928.80656,1335273158.67734,1299220783.39305,1378473251.18003,1407835172.27834,1479634766.06453,1516625635.21614,1589423665.70651,1554456345.06097,1574664277.54676,1713234733.97088,1684109743.49338,1717791938.36324,1772761280.39087,1790488893.19478,1885384804.5341,1898582498.16584,1933591136.76191,1917139709.05638,1936934579.71751,1912289652.24819,1908465072.94369,1946634374.40257
Finland,europe,32363088296.1856,34824194518.0173,35862633031.9313,37040756259.0169,38981205392.9164,41048323284.5185,42022327346.8008,42933719719.5541,43922607785.4229,48136229952.8677,50703772072.9479,51898819538.2546,55913445264.8976,59818344059.0831,61754384904.1597,62868988391.3764,63085498433.7571,63236594803.759,65082918739.6352,69718076285.2404,73475216510.0424,74420490141.8832,76689699649.8986,79008660401.6952,81463976414.2252,84154228855.7214,86377372397.2729,89391929242.6755,94059332964.8056,98835452367.7907,99334807444.2602,93374792703.1509,90120692832.1356,89390086604.0169,92656163626.3128,96327621153.4918,99765984890.363,105957250783.121,111288004422.333,115637552975.861,121793808734.107,124575271789.202,126860143725.815,129413119587.249,134751243781.095,138680670720.472,144797309747.558,152522572323.567,152970333517.597,140190713101.161,145421964252.81,149573429150.544
France,europe,349778187325.853,369037927245.624,393660782188.862,414710508266.523,441742742172.271,462849365785.003,486982368985.373,509812875871.98,531525932127.008,568682414708.099,601287903228.628,633340148631.584,662077162386.551,705840360681.181,738949898007.582,730641519752.044,762687037772.67,789935209765.064,820703033189.416,849011684285.92,862905694751.184,871351830989.844,892413505746.226,903407336383.319,916909603122.409,931672923881.787,952690141655.377,975443949951.029,1020973645763.28,1063728514428.42,1091598599816.93,1102943385636.2,1119243188168.46,1111773755003.03,1136759530932.39,1160031311021.31,1172414702759.87,1198016965929.96,1238488425750.81,1279258855127.53,1326334899576.19,1350682881886.69,1363229017958.53,1375491323088.37,1410493938384.31,1436256423650.45,1471687515757.36,1505321677069.46,1504107370104.43,1456772338299.09,1480999829195.0,1506143156817.09
Gabon,africa,887289808.724941,1018309174.85609,1094165180.09491,1160826485.34571,1213695789.644,1314837133.66517,1374110051.74067,1430656780.6726,1466549110.62653,1585088961.73002,1722664256.45841,1899387746.98947,2114720779.04677,2330050818.58032,3250120203.13233,3873822004.78308,5253884186.27849,4592835688.1274,3488295169.03476,3504843825.41672,3594320285.78212,3777462739.77418,3660455060.83481,3865742190.63637,4156016995.16627,4059059224.63968,4026440716.44313,3336065491.59194,3764594888.3807,4086291191.60393,4298461126.04899,4561204712.00492,4420256843.00122,4594704710.83278,4765294832.30326,5002313342.71378,5183649653.67729,5481106515.22648,5671730278.61365,5165096006.37744,5067838984.24113,5175869091.90638,5162041537.37761,5289811986.01803,5361013680.58408,5523001847.83905,5588238865.76432,5898573546.00851,6035623995.8102,5950756011.35934,6343809583.45765,6649166795.64969
Gambia,africa,1140968686.5913033,1255012303.8717825,1332091793.5301874,1404622917.3998625,1456072776.8939452,2343347037.845215,207683716.008107,207683716.008107,227571802.75801,233114370.954048,247459869.138163,247296850.030073,247894579.969818,270825642.541306,286746924.204451,322284702.742683,345976575.471254,357876705.555029,380481791.019588,375428300.517567,398967950.105472,412221242.672113,409069472.016553,453589434.341584,469624990.301416,465810387.985575,484867022.285898,496767274.588172,519006682.303334,549605876.098477,569165683.959717,586849885.993811,606677719.023643,624951462.35804,625916051.492672,631435683.350374,645475940.832912,677104255.130228,700802893.637842,745654278.830664,786665264.166349,832291849.487997,805242361.22979,860562511.446276,921232168.50324,923671344.604227,954571694.286,1011867196.86919,1075628981.89007,1147182107.22522,1217357172.36873,1277885816.17076
Georgia,europe,1394647564.4576654,1491715432.887475,1570018406.965465,1648419349.454015,1698449764.1438901,3371856942.02526,3625947638.60573,3852569346.11491,4024252757.02263,4216537591.27494,4724719621.35364,4841464417.20101,4978810636.39298,5301575079.48719,5768553307.50007,6194327096.52938,6572030154.68393,7025273569.70229,7547190094.3166,8103444129.10562,8474279303.07458,8920655470.8251,9099205810.54174,9490643363.23196,10005693277.4962,10500140176.1215,9641724713.87731,9765335801.61588,10307854704.9514,9566183720.09575,8151514859.98033,6431545204.78005,3543781426.30442,2505453416.48843,2244886380.91417,2303253365.03692,2561217795.42214,2830633309.5153,2918521769.48841,3002261649.61411,3057453460.84974,3204377911.4422,3379780411.87512,3753519943.79747,3973376002.43895,4354805817.36963,4763429293.1461,5351427005.09206,5475261546.29493,5268528046.52734,5597970558.38139,5987225425.158
Germany,europe,1648326442.3240278,1728418561.9031675,1807945020.4007425,1892215781.5081675,1940826751.393835,2792474344.370165,2872399769.0395403,3018291819.50246,3108161511.341485,3270133707.292095,929852280013.346,958981760098.242,1000221248757.76,1048006687998.15,1057334667575.89,1048170336762.67,1100046995116.11,1136867967133.53,1171070558918.6,1219674241981.6,1236857362256.4,1243403312837.28,1238493849901.62,1257968052879.72,1293479834780.97,1323591207453.0,1353866228889.55,1372849485574.09,1423744251340.39,1479221182513.31,1556954345661.21,1636487645218.84,1667775438934.58,1651062704403.19,1691872870119.37,1720245651998.24,1733849040570.3,1763970829551.29,1796813296246.69,1830433099431.93,1886401326699.83,1914968442701.16,1915162776823.62,1907972414292.67,1930126504252.88,1943341224580.03,2015244849889.49,2081124117402.75,2103666875607.88,1995811437643.69,2069464070055.27,2131456655119.38
Ghana,africa,1902005320.19039,1965121690.91886,2045871633.83602,2136012213.56232,2183203738.64378,2213091746.71507,2118851899.47335,2184014292.89001,2192070265.66034,2323729823.30925,2549677064.19911,2682671392.66361,2615935780.61881,2691394628.81113,2875822907.03222,2518311292.36949,2429410284.32891,2484657690.65774,2695255677.32139,2627471578.27279,2639865251.11727,2547388990.25577,2371016684.80502,2262809702.02946,2458487738.15397,2583664541.66067,2717993396.87954,2848318427.77407,3008626623.68341,3161641538.13685,3266886838.00013,3439438120.98081,3572868342.78534,3746152457.41042,3869775488.50499,4028916868.57068,4214346194.39582,4391195242.9334,4597598579.90584,4799892758.17178,4977488790.22412,5176588341.83309,5409534817.2156,5690830627.71082,6009517142.86258,6364078885.54576,6771379934.2207,7208793173.09773,7816530775.86755,8128525458.20356,8779397392.40743,10042802344.5558
Greece,europe,28208389534.1911,31353494474.2642,31834306239.6443,35061049111.9912,37956509843.4835,41521636083.508,44053976946.304,46468768011.7418,49565497480.0947,54472347988.9825,58805784184.0725,63416849797.0489,69860097594.0086,75513441225.5556,70651704210.0644,75149963025.7408,80299161830.0247,82660761559.3696,88651073971.2559,91560673330.6822,92180659096.3632,90748428631.6526,89720568797.5694,88752822668.6997,90537269528.3128,92809353505.7494,93289790480.7791,91182501476.0674,95092281000.6066,98705787677.1644,98705787677.1644,101765667096.737,102478026766.307,100838378338.2,102855145905.735,105014815743.466,107491487302.218,111401606431.581,115148803930.553,119086192481.676,124418164455.203,129640052496.614,134098566244.522,142068547965.041,148273579289.3,151654726496.39,160060884678.577,164856617855.66,164598016076.395,159247577305.264,153647288779.68,143034499786.792
Grenada,americas,16098739699.741026,17757028051.94993,18071003096.01024,19889874302.95692,21446913159.830437,23337153460.241356,24745334176.6185,26064512857.6602,27860967681.616657,30460205368.94184,32810947424.950222,35306777673.10596,38792270635.99405,41880910563.893456,39712960401.07747,42047638015.04498,44952644434.888756,181391474.633788,191213323.206003,202708833.306712,201805408.555966,203525381.027069,213549930.315666,219798608.909099,230315399.597272,248928265.936362,269463805.462938,299508469.609548,309776248.63873,328586015.244009,345669990.396201,353609713.336923,352561518.24458,343255075.80914,352706288.586177,361537835.377255,376206895.942386,393545720.267342,419291120.380626,461524207.512925,519752999.70972,499420151.633632,510116469.035094,553191297.855927,517390196.515461,579680174.842548,568497397.959915,604222784.927146,614414707.209595,579518270.55955,572168317.376963,578532803.583195
Guatemala,americas,3989089865.29095,4160561629.63566,4307699952.37618,4718699493.92264,4937316476.17738,5152670836.97471,5436691406.933,5660257703.5786,6156437883.13861,6448062748.90118,6816110665.82794,7196705549.16302,7724443677.9795,8248379902.23131,8774216592.09052,8945313004.34917,9606127039.75281,10356290699.1755,10873762420.3126,11386292444.1954,11814414541.3134,11890837105.8027,11471079977.4069,11176033300.2011,11231544416.2348,11163106240.6713,11179075018.5228,11575259559.9378,12025813477.9972,12499941929.7373,12887760529.0802,13359226868.9451,14005591525.6332,14555609587.1868,15142745250.7452,15892091189.8229,16362144271.3126,17076202965.7313,17928907904.4338,18618644148.9166,19290566570.0483,19740527581.1639,20503822393.6901,21022740913.1031,21685384121.31,22392362924.107,23597025900.6499,25084585159.7893,25907634307.4658,26043918245.1531,26801786950.3741,27838549512.5061
