country,four_regions,income,total_GDP,life_expectancy,child_mortality,health_spending,sanitation
New Zealand,asia,32283.0,225928317503.07474,80.8,6.1,3278.61660992,
Nicaragua,americas,4154.0,5494417083.12948,77.4,25.2,,52.0
Niger,africa,828.0,2845155446.22701,59.6,116.1,18.285209,9.0
Nigeria,africa,5217.0,91293024018.3164,62.0,125.5,62.7837644,31.0
Norway,europe,62737.0,198252580321.958,81.1,3.1,8091.28551376,100.0
Oman,asia,45081.0,33304155892.6735,76.3,11.6,574.30678819,99.0
Pakistan,asia,4261.0,118790417252.851,64.9,89.9,21.78013027,48.0
Palau,asia,13034.0,135231858.764973,,18.8,849.86996137,100.0
Panama,americas,16254.0,23764034403.6092,77.4,19.2,616.38653665,
Papua New Guinea,asia,2341.0,5563353346.28835,59.4,64.3,49.4172872,45.0
Paraguay,americas,7186.0,10886238238.1756,74.0,23.3,162.87757859,71.0
Peru,americas,10429.0,98901255440.381,78.5,20.0,268.75781381,71.0
Philippines,asia,5721.0,133814916391.099,70.2,31.2,77.3301845,74.0
Poland,europe,22333.0,261950140322.322,76.5,5.5,917.11336293,
Portugal,europe,26932.0,122952502443.13,80.2,3.8,2366.52124322,100.0
Qatar,asia,133734.0,67606969098.8759,79.7,8.7,1488.75199833,100.0
Romania,europe,17363.0,56320357839.3145,74.5,13.2,427.99985804,
Russia,europe,22570.0,433192084532.738,69.8,11.4,525.31807389,70.0
Rwanda,africa,1324.0,3891912418.52286,65.3,57.8,55.50948097,55.0
St. Kitts and Nevis,americas,20582.0,429699134.827198,,12.1,668.62022513,96.0
St. Lucia,americas,10535.0,782128965.229412,74.6,15.8,465.27568895,65.0
St. Vincent and the Grenadines,americas,9883.0,509866725.862873,71.0,20.3,278.12754172,
Samoa,asia,5675.0,335162767.652354,72.7,18.6,203.97863958,98.0
San Marino,europe,43092.0,93024597573.15091,,3.4,3655.21261596,
Sao Tome and Principe,africa,2801.0,185714032378.64944,67.2,54.4,90.02817488,26.0
Saudi Arabia,asia,49230.0,278403467184.148,78.9,16.5,679.65734523,
Senegal,africa,2163.0,7168101437.50578,64.4,60.0,58.50289206,52.0
Serbia,europe,12572.0,8865794488.67618,75.1,7.3,546.02771042,92.0
Seychelles,africa,22556.0,798003689.832878,73.4,14.2,368.48819254,
Sierra Leone,africa,1400.0,1668760770.49709,55.6,150.6,42.53352606,13.0
Singapore,asia,74949.0,173808582448.064,81.5,2.8,1733.01546179,100.0
Slovak Republic,europe,25066.0,47294463920.3226,76.1,7.8,1412.64543365,100.0
Slovenia,europe,28492.0,26037113239.0156,79.9,3.2,2154.28331805,100.0
Solomon Islands,asia,1975.0,670924408.236274,63.0,31.4,106.60821297,
Somalia,africa,614.0,97085012778.93863,52.0,155.3,,23.0
South Africa,africa,12291.0,193499101149.641,56.6,50.6,648.71285601,79.0
Spain,europe,32674.0,717193989758.722,82.0,4.5,2882.7852788,100.0
Sri Lanka,asia,8112.0,29260877188.4763,76.4,10.1,69.95910501,92.0
Sudan,africa,3524.0,21700942224.8135,66.3,78.2,83.89472437,26.0
Suriname,americas,14942.0,11818698256.008709,71.0,24.1,492.37504248,83.0
Swaziland,africa,5846.0,1936454287.20392,48.0,83.6,203.12666708,57.0
Sweden,europe,43709.0,316798617621.227,81.7,3.0,4710.43430458,100.0
Switzerland,europe,54551.0,300938413797.083,82.6,4.4,7812.21806596,100.0
Syria,asia,6358.0,201312514273.61926,75.1,15.0,96.58501045,95.0
Taiwan,asia,39059.0,101686614750.15552,78.8,,,
Tajikistan,asia,2212.0,2060715226.69176,70.1,50.9,49.06785774,94.0
Tanzania,africa,2243.0,21228077944.0511,61.7,58.2,30.90960176,10.0
Thailand,asia,12798.0,187589623452.591,74.3,14.0,179.14652858,96.0
Timor-Leste,asia,1940.0,531477298.006993,71.3,61.1,56.86094367,47.0
Togo,africa,1273.0,1658132199.61106,59.6,88.3,40.61521536,13.0
Tonga,asia,5023.0,213070903.269142,70.8,17.5,171.79905205,96.0
Trinidad and Tobago,americas,28743.0,13906084266.0329,71.9,22.9,860.96007635,92.0
Tunisia,africa,10235.0,32564546980.6487,77.2,16.5,237.83707151,
Turkey,europe,17908.0,422738755425.99,78.8,17.8,678.11332554,90.0
Turkmenistan,asia,11361.0,11426561284.9864,68.5,58.2,106.07938445,98.0
Tuvalu,asia,3488.0,16739982.4957167,,30.7,568.0787481,85.0
Uganda,africa,1607.0,13552068489.292,58.6,74.6,46.71865246,34.0
Ukraine,europe,8282.0,49985589318.9307,71.1,11.2,234.35661381,94.0
United Arab Emirates,asia,56192.0,166170521393.778,75.5,8.2,1449.92341312,98.0
United Kingdom,europe,36549.0,1756002097874.62,80.5,5.0,3502.84284521,100.0
United States,americas,49781.0,11744219459693.0,78.9,7.2,8361.73211653,100.0
Uruguay,americas,17916.0,32274699322.2045,76.3,12.0,998.26149788,100.0
Uzbekistan,asia,4412.0,29128809775.8869,70.6,44.6,82.42976953,100.0
Vanuatu,asia,2916.0,386483180.233754,64.1,28.6,157.34048017,57.0
Venezuela,americas,16960.0,166062245436.4,74.8,16.4,663.38757129,
Vietnam,asia,4717.0,66530108957.5728,74.7,24.2,82.87217737,76.0
Yemen,asia,3761.0,13104223693.2847,66.6,56.1,63.1929881,53.0
Zambia,africa,3557.0,5917195990.60587,53.7,81.4,72.88434552,48.0
Zimbabwe,africa,1626.0,4407438807.39821,51.6,92.0,,40.0
South Sudan,africa,3505.0,4407438807.39821,55.9,106.7,,
