country,four_regions,income,total_GDP,alc_consumption,BMI_female,BMI_male,fat_female,fat_male,smoking
Mozambique,africa,864.0,7900511175.26117,2.27,23.31734,21.93536,4.373212,4.328783,12.8
Namibia,africa,8169.0,5799458891.74165,12.09,25.14988,22.65008,4.601398,4.45634,24.9
Nauru,asia,9657.0,6580743756.44989,4.81,35.02294,33.89634,5.071714,4.767775,49.2
Nepal,asia,1866.0,7362028621.15813,2.42,20.72814,20.76344,4.268116,4.149549,30.6
Netherlands,europe,47388.0,449761878487.767,9.75,25.47269,26.01541,5.276072,5.347001,34.3
New Zealand,asia,32122.0,64081242758.2353,9.99,27.36642,27.76893,5.190179,5.192573,28.6
Nicaragua,americas,4060.0,5099835100.65866,5.21,27.57259,25.77291,4.566396,4.328938,
Niger,africa,843.0,2598561235.8252,0.34,21.95958,21.21958,3.97411,3.800843,
Nigeria,africa,4684.0,74179197560.4183,12.72,23.67402,23.03322,4.122205,3.793541,7.1
Norway,europe,65216.0,197402589381.97,8.35,25.73772,26.93424,5.321925,5.389466,32.0
Oman,asia,47799.0,30023510877.8586,0.92,26.66535,26.24109,5.049156,4.937785,13.1
Pakistan,asia,4187.0,107569517451.685,0.05,23.44986,22.29914,4.54985,4.455734,21.1
Palau,asia,13492.0,128000152.24357,9.86,31.84726,30.37757,5.175145,5.117338,24.0
Panama,americas,14033.0,19225857623.4071,7.3,27.67758,26.26959,4.927357,4.722064,
Papua New Guinea,asia,1982.0,4479545283.19938,3.64,25.77189,25.01506,4.762067,4.621482,
Paraguay,americas,6684.0,9458532784.87821,7.91,25.90523,25.54223,4.778292,4.6219,24.0
Peru,americas,9249.0,84302372401.808,6.53,25.98511,24.77041,4.75293,4.666838,
Philippines,asia,5332.0,118507880851.959,6.08,23.4671,22.87263,4.926803,4.699187,26.0
Poland,europe,19996.0,237742898867.65,14.43,25.91887,26.6738,5.153638,5.266844,35.6
Portugal,europe,27747.0,126928507821.26,13.89,26.18302,26.68445,5.160739,5.181614,35.8
Qatar,asia,126076.0,43577112799.5604,1.29,28.91251,28.13138,5.252399,5.169289,
Romania,europe,18032.0,61198545646.6439,16.15,25.22425,25.41069,4.902695,4.887807,32.6
Russia,europe,22506.0,432048331749.881,16.23,27.21272,26.01131,5.090908,4.925904,48.5
Rwanda,africa,1173.0,3211350571.13791,9.99,22.07156,22.55453,4.294538,4.094491,
Samoa,asia,5731.0,328406851.763993,4.51,33.65908,30.42475,4.69397,4.476868,41.0
Saudi Arabia,asia,44189.0,248933106154.379,0.34,29.59878,27.88432,4.840003,4.631507,14.7
Senegal,africa,2162.0,6569659706.64144,0.51,24.30968,21.92743,4.235801,4.075781,10.7
Serbia,europe,12522.0,8941244449.72031,12.21,25.66997,26.51495,5.0918,4.91459,42.3
Seychelles,africa,20065.0,708840351.297541,12.11,27.97374,25.56236,5.180202,5.233129,21.2
Sierra Leone,africa,1289.0,1453557724.74718,9.48,23.93364,22.53139,4.053246,3.818527,
Singapore,asia,65991.0,145818948185.179,1.54,22.86642,23.83996,5.300409,5.16493,
Slovenia,europe,30816.0,27967310657.2186,14.94,26.58214,27.43983,5.19576,5.176014,26.5
Solomon Islands,asia,1835.0,582245809.558892,1.37,28.8762,27.15988,4.673255,4.448524,
Somalia,africa,615.0,92899720772.98744,0.5,22.66607,21.96917,4.325979,4.221673,
South Africa,africa,12263.0,185217195736.416,10.16,29.4803,26.85538,4.704981,4.476749,18.4
Spain,europe,34676.0,740341770865.04,11.83,26.30554,27.49975,5.123906,5.224844,33.7
Sri Lanka,asia,6907.0,24169041085.6632,0.81,23.11717,21.96671,4.685689,4.489837,16.5
Sudan,africa,3246.0,21013966787.482,2.56,23.16132,22.40484,4.543214,4.520373,
Suriname,americas,13470.0,1339119702.65958,6.56,27.74986,25.49887,4.747954,4.513049,
Swaziland,africa,5887.0,1851757909.80426,5.05,28.44886,23.16969,4.545904,4.396923,8.9
Sweden,europe,43421.0,302392423837.85,9.5,25.1466,26.37629,4.957592,5.154055,22.0
Switzerland,europe,55020.0,292452808698.484,11.41,24.07242,26.20195,5.243272,5.290824,26.5
Syria,asia,6246.0,28519111114.0125,1.49,28.87418,26.91969,4.82789,4.66075,
Tajikistan,asia,2001.0,1733997805.17718,3.39,23.84799,23.77966,4.320241,4.169286,
Tanzania,africa,2030.0,17592588001.5284,7.86,23.0843,22.47792,4.32427,4.127804,14.6
Thailand,asia,12216.0,178059776977.337,7.08,24.38577,23.00803,5.117439,4.992752,21.7
Timor-Leste,asia,1486.0,389275332.167832,0.74,21.50694,20.59082,4.401453,4.204453,
Togo,africa,1219.0,1490639146.89354,1.92,22.73858,21.87875,4.074214,3.862706,
Tonga,asia,4748.0,211928828.502575,3.92,34.25969,30.99563,4.911098,5.08444,39.0
Trinidad and Tobago,americas,30875.0,14587750785.2864,6.16,28.27587,26.39669,4.808126,4.620214,22.1
Tunisia,africa,9938.0,31228376125.9798,1.05,27.93706,25.15699,4.87157,4.633232,26.6
Turkey,europe,16454.0,375074194704.613,3.02,28.24749,26.70371,4.804042,4.686142,35.5
Turkmenistan,asia,8877.0,8973871337.58845,5.0,24.66154,25.24796,4.635527,4.541695,
Uganda,africa,1437.0,11182997488.1864,16.4,22.48126,22.35833,4.283853,4.067057,12.1
Ukraine,europe,8762.0,53572110087.6174,17.47,26.23317,25.42379,4.882629,4.801592,
United Arab Emirates,asia,73029.0,158726511688.564,0.52,29.61401,28.05359,5.281456,5.178762,14.4
United Kingdom,europe,37739.0,1786979190485.25,13.24,26.94449,27.39249,5.365143,5.415542,35.7
United States,americas,50384.0,11619053724200.4,9.7,28.34359,28.45698,5.149762,5.071318,23.9
Uruguay,americas,15317.0,27378107386.2999,8.99,26.59304,26.39123,4.79499,4.814038,32.6
Uzbekistan,asia,3733.0,22931837237.7853,3.61,25.43432,25.32054,4.414015,4.256485,12.8
Vanuatu,asia,2944.0,347592314.102164,0.96,28.45876,26.78926,4.741816,4.607908,28.8
Venezuela,americas,17911.0,167167089250.137,7.6,28.13408,27.445,4.841067,4.538799,29.8
Vietnam,asia,4085.0,55866678638.5356,3.91,21.065,20.9163,4.67733,4.523233,24.3
Zambia,africa,3039.0,4879795903.24311,3.56,23.05436,20.68321,4.46094,4.338276,13.4
Zimbabwe,africa,1286.0,3490273375.90532,4.96,24.64522,22.0266,4.33018,4.133082,15.0
